date,topic,platform,status,background,script,bgm
2026-06-13,エスパス上野本館の明日の狙い台TOP5,youtube,done,,,
2026-06-14,この店のジャグラーのクセを徹底分析,youtube,done,,,
2026-06-15,設定が入りやすい末尾の見抜き方,youtube,done,,,
2026-06-16,据え置き狙いできる台の条件3選,youtube,done,,,
2026-06-17,今週の見送り推奨台ワースト3,youtube,done,,,
2026/06/12,【持論】先ペカしたがるジャグラーは高設定,youtube,done,https://drive.google.com/open?id=18XLn9sdi6LO5OnbdRWgm0uy3NJa_jYih,"これ完全に俺のオカルトなんだけど。

高設定のジャグラーって先ペカしたがると思わない？

本来ジャグラーって後ペカの方が多い。

でも俺が設定5とか6を打ってる時って、なぜか先ペカがめちゃくちゃ出る。

もちろんメーカーは設定差なんて発表してない。

だから根拠はない。

でも強い台ほどレバーオンで光りたがる気がするんだよね。

俺だけかな？

先ペカが多い台は高設定だと思う人、コメントで教えて。

オカルトだと思う人もコメント待ってます。",
2026/06/13,ジャグラーの先ペカは高設定の証,youtube,done,https://drive.google.com/open?id=19kywVViD_hsC-QgVOGH2lWfs2ZSm6Mi3,"これ完全に俺のオカルトなんだけど。

高設定のジャグラーって先ペカしたがると思わない？

本来ジャグラーって後ペカの方が多い。

でも俺が設定5とか6を打ってる時って、なぜか先ペカがめちゃくちゃ出る。

もちろんメーカーは設定差なんて発表してない。

だから根拠はない。

でも強い台ほどレバーオンで光りたがる気がするんだよね。

俺だけかな？

先ペカが多い台は高設定だと思う人、コメントで教えて。

オカルトだと思う人もコメント待ってます。",
2026-06-18,朝一ガックンチェック完全攻略,youtube,done,,,
2026-06-19,末尾7の日に勝つための立ち回りTOP3,youtube,done,,,
2026-06-20,ジャグラー連チャン台の見抜き方TOP3,youtube,done,,,
2026-06-21,設定6をツモる人の行動TOP3,youtube,done,,,
2026-06-22,ハマり台は狙い目?やめどきの正解TOP3,youtube,done,,,
2026-06-23,ジャグラーあるあるTOP3,youtube,done,,,
2026-06-24,当てはまったら重症?ジャグラーマン診断,youtube,done,,,
2026-06-25,上級者でも間違えるジャグラークイズ,youtube,done,,,
2026/06/13,ジャグ写真,youtube,done,"https://drive.google.com/open?id=1qOznKplUdaoFmV2CxLG1pMo7Zm2D19s6, https://drive.google.com/open?id=1-UeVYpmm6ExZIDc28OnwtSGRQTHC4M-a, https://drive.google.com/open?id=1Fhpg112c_bNLv3KTpJt-vUS1gW_0VutT, https://drive.google.com/open?id=1TVUXJ2A-nkboEYm1SRMDc4QJseJQRZBW, https://drive.google.com/open?id=1NsYQCjV9htH5V6wxqEyD_jSQh5fFw0QY",、,
2026/06/13,ジャグラー画像,youtube,done,https://drive.google.com/open?id=13xiJ6_ww6yhJQpb6zfxei7qd4GLuSv9K,.,
2026/06/13,先ペカが多いジャグラーは高設定なのか？,youtube,done,"https://drive.google.com/open?id=1JtApw7-syPPV_PA1BHUCraSrk9SN_S85, https://drive.google.com/open?id=1-WRePdBYjMHLiQ6p8QlMTRHnxhvAE07h, https://drive.google.com/open?id=1c3nJaCqv2duanSb__b7IPJI00CgUmopb, https://drive.google.com/open?id=1r4cme12zQKexVs1ljlUh6-0aZc5rmnEV, https://drive.google.com/open?id=1t-wmzMbihRDo9xiJvFCmFnqdjCFWFDry, https://drive.google.com/open?id=1v5zBcKjj8YrFECAQuiEBY_UPl3ZwrXXT","「高設定を打ってる時、やたら先ペカ多くないですか？」



「実は僕、ずっと気になってることがあります」


「高設定だけ、先ペカと後ペカの割合が違うんじゃないか？」



「もちろん公式発表はありません」

「でも高設定を打ってる時って、なぜか先ペカが多い気がするんです」


「逆に低設定っぽい台は後ペカが多いような…」

「皆さんもそんな経験ありませんか？」



「ということで次回」

「実際の高設定台で」

「先ペカと後ペカを全部カウントして検証してみます」



「あなたは先ペカ派？後ペカ派？」

「高設定ほど先ペカが多いと思う人はコメントで教えてください！」

「ジャグラーマンが本気で検証します！」",
2026-06-15,ジャグラーで設定6でも負ける理由,youtube,done,,,
2026-06-16,ジャグラーのREGが実は一番大事な理由,youtube,done,,,
2026-06-17,ジャグラーで隣がペカると気になる現象,youtube,done,,,
2026-06-18,ジャグラーのハマり台は本当に狙い目か,youtube,pending,,,
2026-06-19,ジャグラーの台選びでやりがちな失敗,youtube,pending,,,
2026-06-20,ジャグラーのオカルトは全部嘘なのか,youtube,pending,,,
2026-06-16,クソ台かと思ったジャグラーの結末,youtube,pending,"drafts/genre_kensho/img_01.jpg,drafts/genre_kensho/img_02.jpg,drafts/genre_kensho/img_02.jpg,drafts/genre_kensho/img_03.jpg,drafts/genre_kensho/img_04.jpg,drafts/genre_kensho/img_05.jpg",,
