機種,設定,セッション,差枚,BIG回数,REG回数,BIG確率,REG確率,合成確率,チェリービッグ回数,チェリーバケ回数,最大ハマり,最大連チャン
アイムジャグラーEX,1,1,-4863,20,23,500.0,434.8,232.6,,,874,4
アイムジャグラーEX,1,2,-1599,32,27,312.5,370.4,169.5,,,576,6
アイムジャグラーEX,1,3,1473,48,19,208.3,526.3,149.3,,,1206,6
アイムジャグラーEX,1,4,-1791,34,20,294.1,500.0,185.2,,,1066,6
アイムジャグラーEX,1,5,-1839,35,17,285.7,588.2,192.3,,,1128,5
アイムジャグラーEX,1,6,-1647,33,24,303.0,416.7,175.4,,,638,5
アイムジャグラーEX,1,7,1473,46,24,217.4,416.7,142.9,,,852,7
アイムジャグラーEX,1,8,-543,38,23,263.2,434.8,163.9,,,1080,5
アイムジャグラーEX,1,9,-1167,35,24,285.7,416.7,169.5,,,777,5
アイムジャグラーEX,1,10,-1743,35,18,285.7,555.6,188.7,,,946,4
アイムジャグラーEX,1,11,897,44,23,227.3,434.8,149.3,,,689,5
アイムジャグラーEX,1,12,-447,40,19,250.0,526.3,169.5,,,533,4
アイムジャグラーEX,1,13,-2367,32,19,312.5,526.3,196.1,,,1008,5
アイムジャグラーEX,1,14,-975,37,21,270.3,476.2,172.4,,,1036,5
アイムジャグラーEX,1,15,-1407,34,24,294.1,416.7,172.4,,,688,5
アイムジャグラーEX,1,16,-639,38,22,263.2,454.5,166.7,,,804,5
アイムジャグラーEX,1,17,-2751,30,20,333.3,500.0,200.0,,,983,5
アイムジャグラーEX,1,18,-3471,29,15,344.8,666.7,227.3,,,743,4
アイムジャグラーEX,1,19,-495,39,21,256.4,476.2,166.7,,,694,6
アイムジャグラーEX,1,20,-1935,35,16,285.7,625.0,196.1,,,845,3
アイムジャグラーEX,1,21,81,39,27,256.4,370.4,151.5,,,743,6
アイムジャグラーEX,1,22,-1407,36,19,277.8,526.3,181.8,,,873,6
アイムジャグラーEX,1,23,-2415,31,21,322.6,476.2,192.3,,,710,7
アイムジャグラーEX,1,24,-2031,31,25,322.6,400.0,178.6,,,1179,5
アイムジャグラーEX,1,25,-255,38,26,263.2,384.6,156.3,,,617,4
アイムジャグラーEX,1,26,-879,35,27,285.7,370.4,161.3,,,690,5
アイムジャグラーEX,1,27,-975,37,21,270.3,476.2,172.4,,,940,6
アイムジャグラーEX,1,28,1569,44,30,227.3,333.3,135.1,,,740,9
アイムジャグラーEX,1,29,801,42,27,238.1,370.4,144.9,,,700,5
アイムジャグラーEX,1,30,-1407,32,29,312.5,344.8,163.9,,,1230,6
アイムジャグラーEX,1,31,-1551,33,25,303.0,400.0,172.4,,,564,5
アイムジャグラーEX,1,32,-927,36,24,277.8,416.7,166.7,,,757,5
アイムジャグラーEX,1,33,-4143,21,28,476.2,357.1,204.1,,,1374,6
アイムジャグラーEX,1,34,-207,37,29,270.3,344.8,151.5,,,436,5
アイムジャグラーEX,1,35,-2559,30,22,333.3,454.5,192.3,,,870,4
アイムジャグラーEX,1,36,1233,45,24,222.2,416.7,144.9,,,780,5
アイムジャグラーEX,1,37,-687,37,24,270.3,416.7,163.9,,,824,6
アイムジャグラーEX,1,38,-495,37,26,270.3,384.6,158.7,,,953,6
アイムジャグラーEX,1,39,-1311,34,25,294.1,400.0,169.5,,,665,6
アイムジャグラーEX,1,40,657,43,23,232.6,434.8,151.5,,,699,5
アイムジャグラーEX,1,41,-975,35,26,285.7,384.6,163.9,,,552,5
アイムジャグラーEX,1,42,-831,36,25,277.8,400.0,163.9,,,535,4
アイムジャグラーEX,1,43,-2175,30,26,333.3,384.6,178.6,,,983,5
アイムジャグラーEX,1,44,-1503,36,18,277.8,555.6,185.2,,,751,7
アイムジャグラーEX,1,45,-1791,32,25,312.5,400.0,175.4,,,693,4
アイムジャグラーEX,1,46,-639,40,17,250.0,588.2,175.4,,,539,5
アイムジャグラーEX,1,47,-2175,34,16,294.1,625.0,200.0,,,677,6
アイムジャグラーEX,1,48,-591,37,25,270.3,400.0,161.3,,,744,13
アイムジャグラーEX,1,49,-4047,23,24,434.8,416.7,212.8,,,735,5
アイムジャグラーEX,1,50,-543,40,18,250.0,555.6,172.4,,,735,4
アイムジャグラーEX,1,51,-2319,35,12,285.7,833.3,212.8,,,780,7
アイムジャグラーEX,1,52,321,42,22,238.1,454.5,156.3,,,521,4
