機種,設定,機械割%,平均差枚,最低差枚,最高差枚,勝率%,BIG確率,REG確率,合成確率,最大ハマり,最大連チャン
アイムジャグラーEX,1,97,-1265,-6591,2673,24,1/284.2,1/444.4,1/173.3,2189,11
アイムジャグラーEX,2,98,-855,-3837,2499,27,1/277.8,1/399.0,1/163.8,1327,11
アイムジャグラーEX,3,99.5,-413,-3261,4083,36,1/276.0,1/338.0,1/151.9,1373,11
アイムジャグラーEX,4,101.1,219,-3967,4001,56,1/261.4,1/318.0,1/143.5,1120,12
アイムジャグラーEX,5,103.3,1005,-3545,4231,74,1/259.1,1/253.7,1/128.2,1255,17
アイムジャグラーEX,6,105.5,1663,-2118,5994,86,1/254.8,1/254.6,1/127.4,1237,15
ネオアイムジャグラーEX,1,97,-978,-4191,3777,24,1/277.3,1/428.8,1/168.4,1285,10
ネオアイムジャグラーEX,2,98,-720,-3885,2643,26,1/273.1,1/401.3,1/162.5,1539,13
ネオアイムジャグラーEX,3,99.5,-50,-3645,4947,49,1/266.1,1/333.3,1/148.0,1463,12
ネオアイムジャグラーEX,4,101.1,450,-3391,3953,63,1/257.0,1/310.2,1/140.5,1200,13
ネオアイムジャグラーEX,5,103.3,1036,-3209,4567,77,1/253.6,1/265.6,1/129.7,1081,15
ネオアイムジャグラーEX,6,105.5,1451,-3558,5658,85,1/260.2,1/255.7,1/129.0,1048,13
マイジャグラーV,1,97,-1039,-5727,3057,23,1/276.2,1/448.2,1/170.9,1522,11
マイジャグラーV,2,98.7,-562,-4207,2513,42,1/275.4,1/389.3,1/161.3,1383,13
マイジャグラーV,3,99.9,-35,-4359,3417,50,1/266.5,1/336.2,1/148.7,1444,10
マイジャグラーV,4,102.8,1180,-2559,5313,74,1/243.2,1/297.2,1/133.7,1380,12
マイジャグラーV,5,105.3,1833,-1948,5588,88,1/234.5,1/268.2,1/125.1,936,17
マイジャグラーV,6,109.4,2855,-1766,6730,98,1/227.0,1/232.6,1/114.9,1055,17
ファンキージャグラー2,1,97,-1127,-6332,1684,22,1/273.4,1/439.2,1/168.5,1502,11
ファンキージャグラー2,2,98.5,-359,-4443,3429,36,1/257.8,1/399.0,1/156.6,1551,14
ファンキージャグラー2,3,99.8,-44,-4809,4791,47,1/253.6,1/376.5,1/151.5,1382,10
ファンキージャグラー2,4,102.8,819,-3077,5755,68,1/251.0,1/317.7,1/140.2,1315,13
ファンキージャグラー2,5,104.3,1265,-2697,4791,81,1/240.0,1/302.1,1/133.7,1361,13
ファンキージャグラー2,6,109,2675,-1461,6987,97,1/221.0,1/259.9,1/119.4,1169,16
ゴーゴージャグラー3,1,97,-1011,-4093,2627,27,1/262.8,1/351.1,1/150.3,1603,13
